scenario,realization,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow
S2_CONN,real_0075,31.165551071439452,3.587982996020685,20.0,68178.49495238726
S2_CONN,real_0076,30.63621843688715,1.188970934810591,30.0,45993.84965698041
S2_CONN,real_0084,34.535779052502974,1.2244191972850302,30.0,46958.02140952797
S2_CONN,real_0086,24.468054048265753,0.9285847179622806,51.0,29973.446950044443
S2_CONN,real_0090,25.938625925257806,2.459743426245481,19.0,58831.838329661776
S2_CONN,real_0094,38.888733256616646,18.770346401858344,17.0,87274.90302324266
S2_CONN,real_0095,35.18635315512814,5.410754408559434,20.0,76975.75629117936
S2_CONN,real_0096,36.43315227192725,1.6170904960335903,47.0,35704.807014556674
S2_CONN,real_0099,22.51082116519518,2.4354830548386204,22.0,56287.63433849906
S3_BUFF,real_0001,31.46740707013003,1.6124947383245996,32.0,34997.657695383474
S3_BUFF,real_0002,32.344973719662,4.085061879210379,33.0,42113.68288518353
S3_BUFF,real_0003,31.45479435924981,6.316065125794779,25.0,54875.43625241497
S3_BUFF,real_0005,18.680153340045944,0.9623976382261361,50.0,21998.88952850927
S3_BUFF,real_0006,42.62024425069235,4.687225785654384,55.0,38322.27560199056
S3_BUFF,real_0007,27.501607142434896,2.025909565381099,27.0,58876.292342441564
S3_BUFF,real_0008,14.610744058111468,0.9251628413571922,33.0,17838.75794884981
S3_BUFF,real_0009,41.42566081430518,1.8357373479174086,45.0,44654.821424744136
S3_BUFF,real_0010,15.819421537298894,0.7161258789734006,57.0,16598.26393699966
S3_BUFF,real_0011,25.282195343958037,2.0928491766884108,37.0,31144.532013956246
S3_BUFF,real_0012,25.656150804682124,0.7024030461021056,56.0,21855.13582776934
S3_BUFF,real_0013,35.23626168505213,3.1935058709477815,35.0,49621.01932362867
S3_BUFF,real_0014,38.30879690940699,5.127328400031118,31.0,52618.766711877004
