scenario,forecast,threshold,n,n_exceed,frequency,wilson95_low,wilson95_high
S2_CONN,fcst_stage4_mean_inflow,39500.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,40000.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,40500.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,41000.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,41500.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,42000.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,42500.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,43000.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,43500.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,44000.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,44500.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,45000.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,45500.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,46000.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,46500.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,47000.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,47500.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,48000.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,48500.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_stage4_mean_inflow,49000.0,38,37,0.9736842105263158,0.8650512388404787,0.9953394123142312
S2_CONN,fcst_stage4_mean_inflow,49500.0,38,37,0.9736842105263158,0.8650512388404787,0.9953394123142312
S2_CONN,fcst_stage4_mean_inflow,50000.0,38,36,0.9473684210526315,0.8271453786822962,0.9854457918527075
S2_CONN,fcst_stage4_mean_inflow,50500.0,38,33,0.868421052631579,0.7267314055770869,0.9424613230987987
S2_CONN,fcst_stage4_mean_inflow,51000.0,38,27,0.7105263157894737,0.5524286232424794,0.8299672217151693
S2_CONN,fcst_stage4_mean_inflow,51500.0,38,23,0.6052631578947368,0.4471786799604255,0.744019242518399
S2_CONN,fcst_stage4_mean_inflow,52000.0,38,17,0.4473684210526316,0.3014640099805125,0.6029370287800753
S2_CONN,fcst_stage4_mean_inflow,52500.0,38,13,0.34210526315789475,0.21212415179959412,0.5010789644821693
S2_CONN,fcst_stage4_mean_inflow,53000.0,38,8,0.21052631578947367,0.11074791842995879,0.363457794753274
S2_CONN,fcst_stage4_mean_inflow,53500.0,38,6,0.15789473684210525,0.07443863415158927,0.3041681177922313
S2_CONN,fcst_stage4_mean_inflow,54000.0,38,3,0.07894736842105263,0.027214595506987724,0.20799371457771454
S2_CONN,fcst_stage4_mean_inflow,54500.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_stage4_mean_inflow,55000.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_stage4_mean_inflow,55500.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_stage4_mean_inflow,56000.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_stage4_mean_inflow,56500.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_stage4_mean_inflow,57000.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_stage4_mean_inflow,57500.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_stage4_mean_inflow,58000.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_stage4_mean_inflow,58500.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_stage4_mean_inflow,59000.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_stage4_mean_inflow,59500.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_stage4_mean_inflow,60000.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,22.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_recovery_years,23.0,38,32,0.8421052631578947,0.6958318822077686,0.9255613658484106
S2_CONN,fcst_recovery_years,24.0,38,22,0.5789473684210527,0.42192345343670545,0.7214749884224129
S2_CONN,fcst_recovery_years,25.0,38,6,0.15789473684210525,0.07443863415158927,0.3041681177922313
S2_CONN,fcst_recovery_years,26.0,38,2,0.05263157894736842,0.014554208147292413,0.17285462131770377
S2_CONN,fcst_recovery_years,27.0,38,1,0.02631578947368421,0.004660587685768783,0.1349487611595213
S2_CONN,fcst_recovery_years,28.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,29.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,30.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,31.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,32.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,33.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,34.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,35.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,36.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,37.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,38.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,39.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,40.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,41.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_recovery_years,42.0,38,0,0.0,0.0,0.09180986822558396
S3_BUFF,fcst_max_receptor_dd,1.25,89,86,0.9662921348314607,0.9055263755943858,0.9884707788482102
S3_BUFF,fcst_max_receptor_dd,1.3,89,85,0.9550561797752809,0.8900695404028713,0.982385513932674
S3_BUFF,fcst_max_receptor_dd,1.35,89,84,0.9438202247191011,0.8751458326492151,0.9757671215792799
